encoder,lang,L,seed,acc,macro_f1,regime,n_test,pooling,normalize_l2,classifier,backend
comet-wmt22-comet-da-MOCK,fr,64,2,0.9166666666666666,0.39247921390778523,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,64,2,0.8333333333333334,0.3535903250188965,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,64,2,0.9444444444444444,0.40438397581254726,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,64,2,0.9444444444444444,0.40438397581254715,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,128,0,0.9888888888888889,0.423861852433281,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,128,0,0.9722222222222222,0.41647770219198793,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,128,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,128,0,0.9722222222222222,0.41647770219198793,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,128,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,128,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,128,1,0.9944444444444445,0.42618898716459697,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,128,1,0.9722222222222222,0.41647770219198793,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,128,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,128,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,128,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,128,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,128,2,0.9944444444444445,0.42618898716459697,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,128,2,0.9722222222222222,0.41647770219198793,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,128,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,128,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,128,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,128,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,256,0,0.9944444444444445,0.42618898716459697,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,256,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,256,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,256,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,256,0,0.9722222222222222,0.41647770219198793,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,256,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,256,1,0.9944444444444445,0.42618898716459697,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,256,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,256,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,256,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,256,1,0.9722222222222222,0.41647770219198793,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,256,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,256,2,1.0,0.42857142857142855,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,256,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,256,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,256,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,256,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,256,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,512,0,1.0,0.42857142857142855,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,512,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,512,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,512,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,512,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,512,0,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,512,1,1.0,0.42857142857142855,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,512,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,512,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,512,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,512,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,512,1,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,512,2,1.0,0.42857142857142855,probe_per_length,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,512,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,512,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,512,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,512,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,512,2,1.0,0.42857142857142855,probe_per_length,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,16,0,0.6,0.25703414047786033,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,16,0,0.7222222222222222,0.3071050642479214,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,16,0,0.5,0.18867243867243866,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,16,0,0.5833333333333334,0.2541950113378685,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,16,0,0.6944444444444444,0.2931216931216931,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,16,0,0.5,0.21991104133961276,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,32,0,0.7388888888888889,0.31551006728366504,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,32,0,0.75,0.3167800453514739,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,32,0,0.75,0.31618910190338767,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,32,0,0.6944444444444444,0.29347213632927915,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,32,0,0.8055555555555556,0.34327286470143614,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,nl,32,0,0.6944444444444444,0.29320415034700753,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,all,64,0,0.9222222222222223,0.39523500354065144,train_short,180,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,en,64,0,0.9444444444444444,0.40438397581254726,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,fr,64,0,0.9444444444444444,0.40457294028722607,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,hu,64,0,0.8888888888888888,0.3783068783068783,train_short,36,mean,False,logreg,mock
comet-wmt22-comet-da-MOCK,it,64,0,0.9166666666666666,0.39229024943310664,train_short,36,mean,False,logreg,mock
