metric,k,frozen_at_k,candidate,mean_resid,ci_lo,ci_hi,n_docs,n
comet,2,2,softmin,-0.00032266900789432623,-0.00325874380105783,0.002613405785269178,179,2846
comet,3,2,softmin,-0.02157560546631622,-0.025490205538422114,-0.017661005394210325,179,4063
comet,4,2,softmin,-0.032517818883679946,-0.03771782001992553,-0.027317817747434362,179,5280
comet,6,2,softmin,-0.035296711693796015,-0.042689962627015424,-0.027903460760576607,179,7714
cometkiwi,2,2,softmin,-0.00495046326838267,-0.009762269950705005,-0.00013865658606033397,179,2846
cometkiwi,3,2,softmin,-0.01485882000309281,-0.019150026891289564,-0.010567613114896056,179,4063
cometkiwi,4,2,softmin,-0.025112852318904182,-0.03004379565629898,-0.020181908981509386,179,5280
cometkiwi,6,2,softmin,-0.060991430334233605,-0.0689877295332191,-0.052995131135248105,179,7714
