encoder,regime,L,lang,acc_mean,acc_std,f1_mean,f1_std,n_seeds,n_test,role,acc_lo,acc_hi,f1_lo,f1_hi
xlmr-xlm-roberta-large-MOCK,probe_per_length,128,hu,0.9722222222222222,0.0,0.4164777021919879,0.0,3,36,raw,0.9166666666666666,1.0,0.3586805555555555,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,256,hu,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,512,hu,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,16,it,0.7222222222222222,0.0,0.30663093520236373,0.004609392750187581,3,36,raw,0.596527777777778,0.8888888888888888,0.22334389525040785,0.36488828864879286
xlmr-xlm-roberta-large-MOCK,probe_per_length,32,it,0.9166666666666666,0.02777777777777779,0.39276895943562606,0.011472887991087496,3,36,raw,0.8055555555555556,0.9868055555555549,0.31937229437229436,0.4209290709290709
xlmr-xlm-roberta-large-MOCK,probe_per_length,64,it,0.9444444444444443,0.0,0.4043839758125472,0.0,3,36,raw,0.8611111111111112,1.0,0.34370129870129873,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,128,it,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,256,it,0.9814814814814815,0.016037507477489596,0.420508944318468,0.006982316180675719,3,36,raw,0.9166666666666666,1.0,0.35119047619047616,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,512,it,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,16,nl,0.5555555555555555,0.07349309197401642,0.24363273410892453,0.028153986652938987,3,36,raw,0.3611111111111111,0.6666666666666666,0.1508649198648093,0.27929623617123617
xlmr-xlm-roberta-large-MOCK,probe_per_length,32,nl,0.8240740740740741,0.016037507477489596,0.35135252754300367,0.009844717653260207,3,36,raw,0.707638888888889,0.9312499999999994,0.2786349298849299,0.3969643782143782
xlmr-xlm-roberta-large-MOCK,probe_per_length,64,nl,0.9166666666666666,0.02777777777777779,0.39270597127739976,0.011475792477721422,3,36,raw,0.8055555555555556,1.0,0.31292232044332885,0.4214418914418914
xlmr-xlm-roberta-large-MOCK,probe_per_length,128,nl,0.9814814814814815,0.01603750747748965,0.420508944318468,0.006982316180675719,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,256,nl,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
xlmr-xlm-roberta-large-MOCK,probe_per_length,512,nl,1.0,0.0,0.42857142857142855,0.0,3,36,raw,1.0,1.0,0.38095238095238093,0.42857142857142855
