L,comet_acc,raw_acc,gap_acc,comet_f1,raw_f1,gap_f1
16,0.5962962962962962,0.5925925925925926,0.0037037037037036535,0.2557400399018767,0.2540124771803251,0.001727562721551612
32,0.8074074074074074,0.8166666666666665,-0.00925925925925919,0.3462656917623033,0.35055653046610297,-0.004290838703799649
64,0.925925925925926,0.9185185185185185,0.007407407407407529,0.3968742902751208,0.39369320050255235,0.003181089772568424
128,0.9925925925925925,0.985185185185185,0.007407407407407418,0.4254132755874916,0.4222127767974091,0.0032004987900824955
256,0.9962962962962963,0.9962962962962963,0.0,0.42698313430020746,0.42698313430020746,0.0
512,1.0,1.0,0.0,0.42857142857142855,0.42857142857142855,0.0
