metric,k,p_hat,p_lo,p_hi,cv_r2,n
comet,2,-0.7064874712402821,-1.0064874712402823,-0.40648747124028173,0.9201520743961911,2846
comet,3,-0.6473723195844717,-0.9473723195844714,-0.3473723195844709,0.8977952940426261,4063
comet,4,-0.7361171925107015,-0.936117192510701,-0.48361719251070356,0.8720151284561242,5280
comet,6,-0.8234770049010579,-1.1234770049010576,-0.5234770049010571,0.8174186055903669,7714
cometkiwi,2,-1.1839306879962979,-1.6839306879962983,-0.6839306879962983,0.9093077170681585,2846
cometkiwi,3,-1.5229049408129594,-1.8754049408129583,-1.1229049408129592,0.8988889681613317,4063
cometkiwi,4,-1.4540198022456534,-1.8065198022456523,-1.0540198022456533,0.8792439613898205,5280
cometkiwi,6,-1.3020806200590889,-1.6545806200590873,-1.002080620059088,0.7585833328342216,7714
