metric,scope,candidate,n,n_params,r2,rmse,cv_r2,cv_rmse,aic,bic,param,param_lo,param_hi,a,b
comet,k=2,mean,2846,2,0.905168876726133,0.04966693132803198,0.9049888139509024,0.049714062079777105,-17085.751490446248,-17073.84415088895,,,,-0.14338308073410852,1.104678896298564
comet,k=2,min,2846,2,0.855902656892487,0.06122374157574068,0.855638460693363,0.061279841404456185,-15895.00955170297,-15883.10221214567,,,,0.12274902315101525,0.8495637803686817
comet,k=2,max,2846,2,0.5745097920678504,0.10520506898052734,0.5740943314311401,0.10525641904659959,-12813.49488463378,-12801.58754507648,,,,-0.049527864340374504,0.9099997764637363
comet,k=2,median,2846,2,0.905168876726133,0.04966693132803198,0.9049888139509024,0.049714062079777105,-17085.751490446248,-17073.84415088895,,,,-0.14338308073410852,1.104678896298564
comet,k=2,power_mean,2846,3,0.9207342512742028,0.04540823941942079,0.9201520743961911,0.045574687507087465,-17594.01522709114,-17576.15421775519,-0.7064874712402821,-1.0064874712402823,-0.40648747124028173,-0.09346545055899418,1.0583681588693414
comet,k=2,softmin,2846,3,0.920895105877384,0.04536214237375961,0.9206934937751664,0.04541991210566897,-17599.796505108854,-17581.935495772905,0.40095076742107916,0.34685314468168366,0.4765308801725344,-0.09593370721673217,1.0619453104148444
comet,k=3,mean,4063,2,0.8818507046099151,0.05366165659428534,0.8812108891385267,0.053806757763460444,-23765.009626140865,-23752.39027234889,,,,-0.20965586156417043,1.1539428523293893
comet,k=3,min,4063,2,0.7827322321432153,0.07276895847242973,0.7823408348425679,0.07283447384706743,-21289.905166542525,-21277.28581275055,,,,0.1728028760268284,0.7870386969425717
comet,k=3,max,4063,2,0.4023308152864681,0.12069212669825519,0.4008454933389747,0.12084200511718192,-17178.527627051826,-17165.90827325985,,,,-0.09645896214964118,0.9111241802823604
comet,k=3,median,4063,2,0.7426585949097421,0.07919601726576805,0.7415607865715749,0.0793647610450332,-20602.148635624406,-20589.52928183243,,,,0.016391698526393383,0.8670699922125976
