metric,lang,lp,k,m,condition,severity,family,positions,chain_step,chain_plan,doc_id,family_id,block_id,n_tokens_src,n_tokens_tgt,truncated,S,s_1,s_2,s_3,s_4,s_5,s_6
cometkiwi,de,en-de_DE,3,2,minor_accuracy,minor,accuracy,"0,1",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.7068028450012207,0.7889728546142578,0.785414457321167,0.7538847327232361,,,
cometkiwi,de,en-de_DE,3,3,minor_accuracy,minor,accuracy,"0,1,2",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.6902809143066406,0.7889728546142578,0.785414457321167,0.71054607629776,,,
cometkiwi,de,en-de_DE,3,1,minor_fluency,minor,fluency,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.7072330713272095,0.7569248676300049,0.8077958822250366,0.7538847327232361,,,
cometkiwi,de,en-de_DE,3,2,minor_fluency,minor,fluency,"0,1",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.694382905960083,0.7569248676300049,0.7918607592582703,0.7538847327232361,,,
cometkiwi,de,en-de_DE,3,3,minor_fluency,minor,fluency,"0,1,2",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.687029242515564,0.7569248676300049,0.7918607592582703,0.7350221872329712,,,
cometkiwi,de,en-de_DE,3,1,major_accuracy,major,accuracy,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.5315648317337036,0.4561581611633301,0.8077958822250366,0.7538847327232361,,,
cometkiwi,de,en-de_DE,3,2,major_accuracy,major,accuracy,"0,1",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.41909489035606384,0.4561581611633301,0.38023802638053894,0.7538847327232361,,,
cometkiwi,de,en-de_DE,3,3,major_accuracy,major,accuracy,"0,1,2",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.37788477540016174,0.4561581611633301,0.38023802638053894,0.35505637526512146,,,
cometkiwi,de,en-de_DE,3,1,major_fluency,major,fluency,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.4550733268260956,0.4316197633743286,0.8077958822250366,0.7538847327232361,,,
cometkiwi,de,en-de_DE,3,2,major_fluency,major,fluency,"0,1",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.41802188754081726,0.4316197633743286,0.42860475182533264,0.7538847327232361,,,
cometkiwi,de,en-de_DE,3,3,major_fluency,major,fluency,"0,1,2",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k3,262,288,False,0.4174480140209198,0.4316197633743286,0.42860475182533264,0.3471978008747101,,,
cometkiwi,de,en-de_DE,4,0,none,,,,0,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6828117370605469,0.7897260785102844,0.8077958822250366,0.7538847327232361,0.6796956062316895,,
cometkiwi,de,en-de_DE,4,1,minor_accuracy,minor,accuracy,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6761466264724731,0.7889728546142578,0.8077958822250366,0.7538847327232361,0.6796956062316895,,
cometkiwi,de,en-de_DE,4,2,minor_accuracy,minor,accuracy,"0,3",2,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6424949765205383,0.7889728546142578,0.8077958822250366,0.7538847327232361,0.5899872183799744,,
cometkiwi,de,en-de_DE,4,3,minor_accuracy,minor,accuracy,"0,1,3",3,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6201503276824951,0.7889728546142578,0.785414457321167,0.7538847327232361,0.5899872183799744,,
cometkiwi,de,en-de_DE,4,4,minor_accuracy,minor,accuracy,"0,1,2,3",4,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6059904098510742,0.7889728546142578,0.785414457321167,0.71054607629776,0.5899872183799744,,
cometkiwi,de,en-de_DE,4,1,minor_fluency,minor,fluency,0,1,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6643866896629333,0.7569248676300049,0.8077958822250366,0.7538847327232361,0.6796956062316895,,
cometkiwi,de,en-de_DE,4,2,minor_fluency,minor,fluency,"0,3",2,"0,3,1,2,4,5",ee1b935e48054103,de_ee1b935e48054103_18,de_ee1b935e48054103_18_k4,293,320,False,0.6219482421875,0.7569248676300049,0.8077958822250366,0.7538847327232361,0.5448604822158813,,
