metric,k,frozen_at_k,candidate,mean_resid,ci_lo,ci_hi,n_docs,n
mock,2,2,power_mean,0.00019780770925298058,-0.0008120368207318289,0.00120765223923779,37,540
mock,4,2,power_mean,-0.0004122903210460122,-0.001142656208692218,0.00031807556660019354,37,1020
