metric,k,split,level,p_hat,cv_r2,n
mock,2,severity,major,-3.946816659109323,0.9908143996924581,300
mock,2,severity,minor,-3.0269992323539707,0.9220014174862143,300
mock,2,family,accuracy,-3.9696390669618355,0.9931712049090268,300
mock,2,family,fluency,-3.52386871456428,0.9690881528814529,300
mock,4,severity,major,-4.019406978137982,0.9883104273168102,540
mock,4,severity,minor,-3.10323892664928,0.8861653114869498,540
mock,4,family,accuracy,-3.974455783818615,0.9909480622548991,540
mock,4,family,fluency,-3.808641570148624,0.9644400583758436,540
