metric,k,frozen_at_k,candidate,mean_resid,ci_lo,ci_hi,n_docs,n
mock,2,2,power_mean,0.00013191111661289855,-0.0008821894020821376,0.0011460116353079347,32,540
mock,4,2,power_mean,0.00020019101811951748,-0.0003548737558559527,0.0007552557920949876,37,1020
