metric,k,p_hat,p_lo,p_hi,cv_r2,n
mock,2,-3.916949282902417,-4.116949282902416,-3.7169492829024167,0.9896138558773954,540
mock,4,-3.990929523063624,-4.190929523063623,-3.7909295230636237,0.9875438303257088,1020
