metric,scope,candidate,n,n_params,r2,rmse,cv_r2,cv_rmse,aic,bic,param,param_lo,param_hi,a,b
mock,pooled,mean,1560,2,0.9200640577914327,0.02598237929317881,0.9199758112263525,0.02599671716924714,-11385.050473453472,-11374.345591252984,,,,-0.062471033554553745,1.0619593089437507
mock,pooled,min,1560,2,0.8821916813576469,0.03154248084987419,0.8820468599826128,0.03156186242877662,-10780.030535045868,-10769.32565284538,,,,0.15432534242092252,0.8452915193383457
mock,pooled,max,1560,2,0.3993076121768273,0.07122524198181167,0.3990821852380704,0.07123860537919612,-8238.752963668818,-8228.04808146833,,,,0.1955709446512619,0.6683543741688681
mock,pooled,median,1560,2,0.8525604417269548,0.03528701155793348,0.8524005028979786,0.03530614561411284,-10430.02982113091,-10419.324938930422,,,,0.034307410625628046,0.9346039888221249
mock,pooled,power_mean,1560,3,0.9883911422521774,0.009901536982436008,0.9883595764054941,0.009914989564428418,-14393.00368339877,-14376.94636009804,-3.9796339410585637,,,7.641021006906198e-05,1.0002916097748002
mock,pooled,softmin,1560,3,0.9880858211580863,0.01003090059517396,0.9880568027415181,0.010043108898859404,-14352.504859583763,-14336.447536283033,0.1358232434944554,,,-0.005788878043780754,1.0087874615960455
