metric,k,split,level,p_hat,cv_r2,n
mock,2,severity,major,-3.969321185245967,0.9905093624863924,300
mock,2,severity,minor,-5.084546680888617,0.917938691597314,300
mock,2,family,accuracy,-4.030117991890527,0.9921042435895225,300
mock,2,family,fluency,-4.247840243338571,0.9716863769336408,300
mock,4,severity,major,-3.899921683701696,0.9887122880107984,540
mock,4,severity,minor,-3.236645002833602,0.8917754483372035,540
mock,4,family,accuracy,-3.8504477259464966,0.9911910705799301,540
mock,4,family,fluency,-3.780279041987459,0.961005329882163,540
